Title,Artist,Price,Description,Dimensions,Style,Link,Image Path
Exotic Cat,Shari Blackwell,$100,"digital art, will remove watermark upon purchase, Exotic Cat",,Modern art,"https://anasaea.com/viewArtPiece/HXiT2qKL5jQwAJCCq
",downloaded_images/HXiT2qKL5jQwAJCCq_pic1024.jpeg
Presenza 10,anderson santos,$750,"Presenza 10
Digital painting, 2022. Anderson Santos.","Height 30cm, Width 20cm",,"https://anasaea.com/viewArtPiece/MhLZzSgguYzBYFjRK
",downloaded_images/MhLZzSgguYzBYFjRK_pic1024.jpeg
Digital Valentine,Andrew Foster,E AVAILABLE ON REQUEST,Digital Valentine by Andrew Foster,,Contemporary art,"https://anasaea.com/viewArtPiece/JJpMumLdaQCj78eqD
",downloaded_images/JJpMumLdaQCj78eqD_pic1024.jpeg
screenshotgreatingcards - (-) 10-10-45,illussion Eddie Puce-Paeglitis,$25000,Ask for details,,Primitivism,"https://anasaea.com/viewArtPiece/AMvHQcCfr9k3TdAdR
",downloaded_images/AMvHQcCfr9k3TdAdR_pic1024.jpeg
Inner Star,Joana Casaca,$200,Inner Star by Joana Casaca,"Height 172cm, Width 185.21cm",,"https://anasaea.com/viewArtPiece/QwwuRM83gWxByku9P
",downloaded_images/QwwuRM83gWxByku9P_pic1024.jpeg
MisterX1340,Gabriel Quaresma,E AVAILABLE ON REQUEST,"As minhas pinceladas digitais 
2ª coleção- CARAS CONHECIDAS 
Alfred Hitchcock  foi um diretor e produtor cinematográfico britânico. Amplamente considerado um dos mais reverenciados e influentes cineastas de todos os tempos, Hitchcock foi eleito pelo The Telegraph o maior diretor da história da Grã-Bretanha",,,"https://anasaea.com/viewArtPiece/5mAFYWKeaAW6qZmSf
",downloaded_images/5mAFYWKeaAW6qZmSf_pic1024.jpeg
Transformation,Elena Cruz,$280,This painting is made in liddital with a resolution of 4000x7000pxl 300ip. You can print it on any format in a high image. ,"Height 7000cm, Width 4000cm",Hyperrealism,"https://anasaea.com/viewArtPiece/ZzoxB9WXqT4grSu7e
",downloaded_images/ZzoxB9WXqT4grSu7e_pic1024.jpeg
Sandpaper Red. Mei,Ana Mangot,E AVAILABLE ON REQUEST,Sandpaper Red. Mei by Ana Mangot,,Japonisme,"https://anasaea.com/viewArtPiece/upARzmfmhGgq47mQD
",downloaded_images/upARzmfmhGgq47mQD_pic1024.jpeg
Love,Dato Captures,,"Furthermore, art allows individuals to embrace their individuality and celebrate their unique perspectives.","Height 31.75cm, Width 44.45cm",Abstract expressionism,"https://anasaea.com/viewArtPiece/ctQQ7m6iLbYomiYhG
",downloaded_images/ctQQ7m6iLbYomiYhG_pic1024.jpeg
His Majesty,Shari Blackwell,$60,"digital artwork, watermark will be removed upon purchase, His Majesty",,Modern art,"https://anasaea.com/viewArtPiece/tGTMs686XfEs5MrR9
",downloaded_images/tGTMs686XfEs5MrR9_pic1024.jpeg
DOLCE VITA,Luka Turco,$1500,"This original digital creation glicée print, using high quality pigment inks, on canvas, is offered as a limited edition of 12 prints. Artwork is hand signed on the back and will be shipped unstretched, rolled in a tube, with a Certificate of Authenticity.","Height 80cm, Width 120cm",Contemporary art,"https://anasaea.com/viewArtPiece/dZDarF4jd6rtWsyta
",downloaded_images/dZDarF4jd6rtWsyta_pic1024.jpeg
inbound4649043282913480170,Christian debien,$1200,Abstract geometric digital pai ting hight detailled living room home office kitchen,"Height 48cm, Width 48cm",Geometric abstraction,"https://anasaea.com/viewArtPiece/k4LPEdrcs8FBBJv9j
",downloaded_images/k4LPEdrcs8FBBJv9j_pic1024.jpeg
Framed canvas 'From London with Love..' #9,Oxana Bulakhova,$300,"Elevate your space with the timeless romance of the iconic city, beautifully captured in our framed canvas artworks. Immerse yourself in the allure of London's charm, where every brushstroke whispers tales of love. These framed canvases are more than decor; they are declarations of affection, perfect for gifting or adorning your space. ","Height 44.5cm, Width 44.5cm",Contemporary art,"https://anasaea.com/viewArtPiece/R5mZuRqwCaB53JAMu
",downloaded_images/R5mZuRqwCaB53JAMu_pic1024.jpeg
Welcome!,Shari Blackwell,E AVAILABLE ON REQUEST,Love Yourself! Beautiful Native American Women and Their Spirit Animals,,Modern art,"https://anasaea.com/viewArtPiece/RvWuPpkwPz49PSgSG
",downloaded_images/RvWuPpkwPz49PSgSG_pic1024.jpeg
Awaiting judgment,David Higginson,$1000,Something we alll do,"Height 60cm, Width 90cm",Abstract expressionism,"https://anasaea.com/viewArtPiece/sq2tN4dB74RfHDCWW
",downloaded_images/sq2tN4dB74RfHDCWW_pic1024.jpeg
Geometry,Mihaela B,$35,Geometry by Mihaela  B,,Abstract expressionism,"https://anasaea.com/viewArtPiece/M44divWxTwjbLLjE5
",downloaded_images/M44divWxTwjbLLjE5_pic1024.jpeg
MAMA,Victor Isiguzo,$70,"This article discussed the power of a mother's love, which enables her to perceive you differently from the judgments of the world. I depicted this concept through an artwork featuring her eyeglasses. One lens of the eyeglasses was transparent, symbolizing her genuine perception of your true self, while the other lens was obscured, representing her deliberate choice of what to see. A mother's love possesses immense strength, imparting priceless wisdom that can last a lifetime. Right from the beginning, a mother's love establishes the foundation for emotional and social development by instilling empathy, kindness, and compassion in her children.
",,Modern art,"https://anasaea.com/viewArtPiece/h7JvqsPeM4vLiu33t
",downloaded_images/h7JvqsPeM4vLiu33t_pic1024.jpeg
Pink nightmare,Inês Leal,,Pink nightmare by Inês Leal,"Height 200cm, Width 130cm",Conceptual art,"https://anasaea.com/viewArtPiece/RMNM92eiwLQFYtgNH
",downloaded_images/RMNM92eiwLQFYtgNH_pic1024.jpeg
UNNAMED - CHOOSE BY FUTURE BY ChOICE BY CHANCE BY LUCKY - BIRTHCODE ONE,Hiquche Holuba,,UNNAMED - CHOOSE BY FUTURE BY ChOICE BY CHANCE BY LUCKY - BIRTHCODE ONE by Hiquche Holuba,,Surrealism,"https://anasaea.com/viewArtPiece/232xQ6L7X7mSaWXWd
",downloaded_images/232xQ6L7X7mSaWXWd_pic1024.jpeg
Rêve de Réflexion: Dream of Reflection in Abstract Figures,Calvin Lugalambi,$3500,"LIMITED EDITION SIZE: 48H X 56W (IN) 
English: ""Rêve de Réflexion: Dream of Reflection in Abstract Figures"" invites viewers into a world of introspection and contemplation. Through the use of abstract figures, this artwork captures the essence of inner reflection and self-discovery. Each figure, rendered in fluid lines and vibrant colors, represents a facet of the human psyche, navigating the labyrinth of thoughts and emotions. As viewers immerse themselves in the dreamlike atmosphere of the piece, they are encouraged to explore their own inner landscapes and engage with the profound questions of existence. This evocative artwork serves as a portal to the subconscious, inviting viewers to embark on a journey of self-discovery and introspection. 

French: ""Rêve de Réflexion : Rêve de Réflexion en Figures Abstraites"" invite les spectateurs dans un monde d'introspection et de contemplation. Grâce à l'utilisation de figures abstraites, cette œuvre d'art capture l'essence de la réflexion intérieure et de la découverte de soi. Chaque figure, rendue par des lignes fluides et des couleurs vibrantes, représente une facette de la psyché humaine, naviguant dans le labyrinthe des pensées et des émotions. En s'immergeant dans l'atmosphère onirique de l'œuvre, le spectateur est encouragé à explorer ses propres paysages intérieurs et à s'interroger sur les questions profondes de l'existence. Cette œuvre d'art évocatrice sert de portail vers le subconscient, invitant les spectateurs à s'embarquer pour un voyage de découverte de soi et d'introspection.","Height 121.92cm, Width 142.24cm",Abstract expressionism,"https://anasaea.com/viewArtPiece/ThhDE7hsPvudxKeTE
",downloaded_images/ThhDE7hsPvudxKeTE_pic1024.jpeg
theo,Noam Chang,,theo by Noam Chang,"Height 160cm, Width 120cm",,"https://anasaea.com/viewArtPiece/BHeDcG3ZXeDBxzGiY
",downloaded_images/BHeDcG3ZXeDBxzGiY_pic1024.jpeg
"#105 Rue Marcel Feguide, St-étienne R",JongSeok LEE,$1100,"What is Space?
I like the color blue. Blue is not just the color of the sky and the sea, but also the color that represents the space between objects, not the surface of an object.
The space between things is an empty space. Empty space is a place where there is no matter or energy. It can also mean a mental or emotional emptiness. This refers to a state without thoughts or emotions that can be achieved through meditation or yoga.
Space is born from a place with nothing.

e-espace

We can understand spaces when we break them down into components and reassemble these elements to reconstruct the phenomena.

One of the components of space, Magnetic field - the space of magnetism, such as around magnets, around electric currents, and the surface of the Earth.

https://foundation.app/0xa808eA90579793cEb7B3D51dC9bD1e7c2C54af6b/e-espace/1?ref=0xa808eA90579793cEb7B3D51dC9bD1e7c2C54af6b",,Modern art,"https://anasaea.com/viewArtPiece/epFejjnpbxZAeKSAP
",downloaded_images/epFejjnpbxZAeKSAP_pic1024.jpeg
Sandpaper Red. Himari,Ana Mangot,E AVAILABLE ON REQUEST,Sandpaper Red. Himari by Ana Mangot,,Japonisme,"https://anasaea.com/viewArtPiece/nAE6rGd6CrdAvhdbr
",downloaded_images/nAE6rGd6CrdAvhdbr_pic1024.jpeg
RED ROOM IV,Matt Almeida,,"REPORT FILE 401 | 2024.02.21

Assistants had to be removed from Project GESTALT – severe cases of violent delirium observed. Families notified of their expiration. 

Subject YONA somehow alive despite severe blood loss. Room is scheduled to be cleaned during this afternoon. 

Videos recorded by the assistants have been successfully recovered and all traces eliminated. However, it is rumored that some material survived and is being circulated among the inner lab circle, but that has yet to be proven. 

Furthermore, professor PERL ordered restrictions of personnel allowed to visit the subject and told those who are aware of what transpired to state: „Nothing happened.“ ",,,"https://anasaea.com/viewArtPiece/mc8b27mc2axRRK2Ft
",downloaded_images/mc8b27mc2axRRK2Ft_pic1024.jpeg
avatarmylife 0027,riccardo burgio,$500,avatarmylife 0027 by riccardo burgio,"Height 60cm, Width 60cm",Surrealism,"https://anasaea.com/viewArtPiece/7aNCLkD3Si6pZzQ9L
",downloaded_images/7aNCLkD3Si6pZzQ9L_pic1024.jpeg
Two clouds,Vladas Orzekauskas,E AVAILABLE ON REQUEST,"Intimate, secret, mystical is an aesthetic category that denotes an intuitive, presumed rather than explicit, obvious perception of the essence of an object.","Height 65cm, Width 130cm",Magical Realism,"https://anasaea.com/viewArtPiece/tDSmmes5KEZYjFMhE
",downloaded_images/tDSmmes5KEZYjFMhE_pic1024.jpeg
Ballerina Poses,ha11ok,,"Be able to get over it, because the next step can give you to see yourself and the whole world from above!

""
Suffering behind poses worth storm of applauses,
Getting over it makes you feel close to your sources.
""","Height 120cm, Width 84cm",Minimalism,"https://anasaea.com/viewArtPiece/JLftzTTKB5bga6d2s
",downloaded_images/JLftzTTKB5bga6d2s_pic1024.jpeg
Ruling God 1.447224,Matt Almeida,,"REPORT FILE 592 | 2024.02.24

The following strange statement was uttered by patient YONA several weeks after operation GESTALT had been successfully performed on the subject: 

„...i have seen it, but i can no longer resist… these ruling gods, composed altogether of rotten mass and putrid blood, they have buried their secrets in this realm, and they have spread to the many hearts of men… they plunge from mind to mind, but they do not live, they only devour and then combine, laying in dreams … silently ruling the foolish dreamer, complicating their vision and eating away their soul with comfortable knowledge. Soon, may we revel in never-ending joy...“

It is currently unknown what the patient was referring to. ",,,"https://anasaea.com/viewArtPiece/RzBbkxEoho6pzy5Qr
",downloaded_images/RzBbkxEoho6pzy5Qr_pic1024.jpeg
Gemini,anderson santos,$2000,Gemini by anderson santos,"Height 64cm, Width 191cm",Realism,"https://anasaea.com/viewArtPiece/XR7wSoBn6pZzvyKus
",downloaded_images/XR7wSoBn6pZzvyKus_pic1024.jpeg
Living Upside Down,Mersi,$140,"Sometimes I feel like the world is upside down. And not just the outside world, but my inner world too. There's something upside down in this painting, too. Can you tell what?

As this is digital art, the width and height can be adjusted to your requirements!
","Height 66.7cm, Width 50cm",Contemporary art,"https://anasaea.com/viewArtPiece/QP2cz4zqcmf5TEZCf
",downloaded_images/QP2cz4zqcmf5TEZCf_pic1024.jpeg
Deux Mentalités: Two Minds,Calvin Lugalambi,$3500,"LIMITED EDITION SIZE: 48H X 56W (IN) 
""Deux Mentalités: Two Minds"" is a thought-provoking art piece that delves into the complexities of the human psyche. Through a captivating composition, the artist portrays the dynamic interplay between two contrasting mental states. Bold, expressive brushstrokes and vivid colors depict the clash of emotions, thoughts, and perspectives. Each element of the artwork symbolizes a different aspect of the human experience, inviting viewers to contemplate the duality of the mind and the inherent tension between opposing forces. As viewers engage with ""Deux Mentalités,"" they are prompted to reflect on their own inner conflicts and the delicate balance between reason and emotion, logic and intuition.","Height 121.92cm, Width 142.24cm",Abstract expressionism,"https://anasaea.com/viewArtPiece/JLdP3pwF4fk3Yht4r
",downloaded_images/JLdP3pwF4fk3Yht4r_pic1024.jpeg
The Hanging Tree,David Higginson,$1000,The Hanging Tree by David Higginson,"Height 90cm, Width 60cm",Abstract expressionism,"https://anasaea.com/viewArtPiece/PLtvm8xZjs6idiJXw
",downloaded_images/PLtvm8xZjs6idiJXw_pic1024.jpeg
07 septem Jīngjīng Crystal Rhapsody,Jingjing 晶晶,$200,07 septem Jīngjīng Crystal Rhapsody  by Jingjing 晶晶,,Futurism,"https://anasaea.com/viewArtPiece/dWJrhdWofQKpWvDsx
",downloaded_images/dWJrhdWofQKpWvDsx_pic1024.jpeg
Tidal Wave,Alyssa Anderson,$249.99,A blurred beach scene to display colorful array of capturing the waves and beach serenity ,"Height 60cm, Width 60cm",,"https://anasaea.com/viewArtPiece/NQZwe2b2aoWa2f33b
",downloaded_images/NQZwe2b2aoWa2f33b_pic1024.jpeg
Brazilian Blooms,Adrian Ganea,$1500,"A classic and elegant painting of Brazilian flowers, rendered in soft impasto brushstrokes. The painting captures the vibrant colors and delicate beauty of Brazilian flora, while the impasto technique adds a sense of texture and depth. The painting is perfect for any home décor style, and is sure to add a touch of sophistication and sophistication to any room.

The painting depicts a variety of Brazilian flowers, including orchids, bromeliads, and hibiscus. The flowers are arranged in a loose and informal bouquet, with their petals overlapping and intertwining. The background of the painting is a soft green, which helps to highlight the bright colors of the flowers.

The artist has used a variety of brushstrokes to create the painting. Some of the strokes are long and fluid, while others are shorter and more expressive. The artist has also used impasto to create a sense of texture and depth in the painting. The impasto technique is particularly effective in capturing the delicate petals of the flowers.

Overall, the painting is a beautiful and sophisticated depiction of Brazilian flowers. It is sure to add a touch of elegance to any home décor style.","Height 70cm, Width 50cm",Impressionism,"https://anasaea.com/viewArtPiece/zq43MFmNBaFe7Auxq
",downloaded_images/zq43MFmNBaFe7Auxq_pic1024.jpeg
The Devil Warrior on Throne,PEPPER JERRY,$150,"Urban Devil® The Post Apocalyptic Wasteland - The Devil Warrior

Urban Devil® is an indie designer brand IP. and all related characters and elements©

Founder, creator, artist & designer by PEPPERJERRY©
Copyright © Urban Devil 2012-2024. All Rights Reserved.

© Urban Devil 2024","Height 42cm, Width 29.7cm",Pop art,"https://anasaea.com/viewArtPiece/xxvEidvYYn4zpQqxN
",downloaded_images/xxvEidvYYn4zpQqxN_pic1024.jpeg
@rt Bodies. Simon,Ana Mangot,E AVAILABLE ON REQUEST,@rt Bodies. Simon by Ana Mangot,,Contemporary art,"https://anasaea.com/viewArtPiece/ZLueJY3rfHxdhsJCR
",downloaded_images/ZLueJY3rfHxdhsJCR_pic1024.jpeg
Cosmic Art,tanvir ahmad,$200,Cosmic Art is a unique and different style of art. It shows the depth of universe.,"Height 40cm, Width 25cm",Magical Realism,"https://anasaea.com/viewArtPiece/hNsR3t4x77DAeC8q9
",downloaded_images/hNsR3t4x77DAeC8q9_pic1024.jpeg
CALLIE E AUSTIN 3D VIRTUAL GALLERY,CALLIE E AUSTIN,,"CALLIE E. AUSTIN fine artist.

email: cepiatonefineartinc1@yahoo.com",,Aestheticism,"https://anasaea.com/viewArtPiece/SACteiTHC5RhbeJdD
",downloaded_images/SACteiTHC5RhbeJdD_pic1024.jpeg
WORK!!!,Karen Glykys,$350,"Smartphone Photography PhoneArt

Limited edition of 75

Giclee edition

Printed on Archival Innova Cotton rag Ink Jet Paper

I have been pioneering PhoneArt since 2017.
Now a recognised art form.
Smartphone art is photographic Art photographed, manipulated and edited entirely on a mobile phone using free android apps only.

The process is entirely experimental. ","Height 84.1cm, Width 59.4cm",Pop art,"https://anasaea.com/viewArtPiece/HPv7bDFeZ8eJqNLFE
",downloaded_images/HPv7bDFeZ8eJqNLFE_pic1024.jpeg
"Black, Gold & Red Abstract Women by Csaba Fikker",Csaba fikker,$350,"Black, Gold & Red Abstract Women by Csaba Fikker  by Csaba fikker","Height 100cm, Width 140cm",Pop art,"https://anasaea.com/viewArtPiece/YTGecDtqaPNDfp5kD
",downloaded_images/YTGecDtqaPNDfp5kD_pic1024.jpeg
Urban Nature,Antonella Torquati,$650,"When nature takes back its spaces... // This painting is on sale as art-NFT (on demand ) and/or printable on alu-PVC panel (limited edition, 1/3); the physical artwork will be shipped from Italy; the  indicated price refers to the printable painting (60x40) and may vary depending on the size of the print (e.g. 48x32).","Height 40cm, Width 60cm",Contemporary art,"https://anasaea.com/viewArtPiece/oznRGdJREYWPFLcNp
",downloaded_images/oznRGdJREYWPFLcNp_pic1024.jpeg
DAHINTER DU,Hiquche Holuba,,DAHINTER DU by Hiquche Holuba,,Photorealism,"https://anasaea.com/viewArtPiece/cdBED2DevgTxRaLaE
",downloaded_images/cdBED2DevgTxRaLaE_pic1024.jpeg
Beautiful Birds No. 1,Shari Blackwell,$60,"digital art, will remove watermark upon purchase, Beautiful Birds No. 1",,Modern art,"https://anasaea.com/viewArtPiece/JAbxfHeKmKL3bixJo
",downloaded_images/JAbxfHeKmKL3bixJo_pic1024.jpeg
@rt Bodies. Jannik,Ana Mangot,E AVAILABLE ON REQUEST,@rt Bodies. Jannik by Ana Mangot,,Contemporary art,"https://anasaea.com/viewArtPiece/kQGEbygtb3bLqdaJc
",downloaded_images/kQGEbygtb3bLqdaJc_pic1024.jpeg
Edgar Allan Poe No 1,Sherry Haven,$30,Edgar Allan Poe No 1 by Sherry  Haven ,,Art Nouveau,"https://anasaea.com/viewArtPiece/BDqTP3oLF7dRFm7AR
",downloaded_images/BDqTP3oLF7dRFm7AR_pic1024.jpeg
Sandpaper Red. Joy,Ana Mangot,E AVAILABLE ON REQUEST,Sandpaper Red. Joy by Ana Mangot,,Japonisme,"https://anasaea.com/viewArtPiece/sJRRtQ9Xah9c2m3v9
",downloaded_images/sJRRtQ9Xah9c2m3v9_pic1024.jpeg
I WANT TO FALL ON YOU (like rain on a wildflower),Karen Glykys,$350,"Smartphone Photography PhoneArt 
Limited edition of 75 

Giclee edition
 
Printed on Archival Innova Cotton rag Ink Jet Paper 

I have been pioneering PhoneArt since 2017. Now a recognised art form. 

Smartphone art is photographic Art photographed, manipulated and edited entirely on a mobile phone using free android apps only. 

The process is entirely experimental.","Height 84.1cm, Width 59.4cm",Pop art,"https://anasaea.com/viewArtPiece/PuL8TKMuKLTytcJf5
",downloaded_images/PuL8TKMuKLTytcJf5_pic1024.jpeg
Easter Egg #2,Antonella Torquati,$650,"I love Easter eggs :) // This painting is on sale as art-NFT (on demand ) and/or printable on alu-PVC panel (limited edition, 1/3); the physical artwork will be shipped from Italy; the indicated price refers to the printable painting (40x56) and may vary depending on the size of the print (e.g. 35x25 or 70x50).","Height 56cm, Width 40cm",Contemporary art,"https://anasaea.com/viewArtPiece/nhnrfaFh3C5WT5rz3
",downloaded_images/nhnrfaFh3C5WT5rz3_pic1024.jpeg
Her Bayou Loves Her V1,"LEE ""CASSO"" MCCORMICK",$375,"This is a fantastic scene of a beautiful woman of color who is seen to be one of the Goddesses of the bayou waters, and around her are mythical creatures there to welcome her presence.","Height 40.64cm, Width 60.96cm",Surrealism,"https://anasaea.com/viewArtPiece/XesJTvE2b3WeWs7cT
",downloaded_images/XesJTvE2b3WeWs7cT_pic1024.jpeg
Blue bunny is,Martin Smith,$300,Everyone thought she was a man,"Height 60cm, Width 100cm",Street art,"https://anasaea.com/viewArtPiece/a99nC7eQ3n6msYnjq
",downloaded_images/a99nC7eQ3n6msYnjq_pic1024.jpeg
09 novem Jīngjīng Crystal Rhapsody,Jingjing 晶晶,$200,09 novem Jīngjīng Crystal Rhapsody  by Jingjing 晶晶,,Futurism,"https://anasaea.com/viewArtPiece/6FrDbbuN9teun5vCf
",downloaded_images/6FrDbbuN9teun5vCf_pic1024.jpeg
screenshotgreatingcards - 12:12 12-10-45 (LoN)dON,illussion Eddie Puce-Paeglitis,$25000,screenshotgreatingcards - 12:12 12-10-45 (LoN)dON by illussion Eddie Puce-Paeglitis,,Primitivism,"https://anasaea.com/viewArtPiece/n8i2B5fHugAH2skge
",downloaded_images/n8i2B5fHugAH2skge_pic1024.jpeg
Angel,Olga Kozyreva,E AVAILABLE ON REQUEST,"Angel digital NeuroArt art

3508x2480px

",,Abstract expressionism,"https://anasaea.com/viewArtPiece/RwZ5GH9tDPBykQxkA
",downloaded_images/RwZ5GH9tDPBykQxkA_pic1024.jpeg
Luxury Redefined 001,SHARON CHEUNG,,Luxury Redefined 001,"Height 200cm, Width 200cm",Abstract expressionism,"https://anasaea.com/viewArtPiece/KXMexzdFQEN3g7cTv
",downloaded_images/KXMexzdFQEN3g7cTv_pic1024.jpeg
"An femal tree of life, inspired by Salvador Dali",Mika Kersten,$186,This AI art work is themed by Salvador Dali. It shows an 'female tree of life'.,"Height 9.14cm, Width 11.43cm",Abstract expressionism,"https://anasaea.com/viewArtPiece/o6GweEhyMhNFryd9r
",downloaded_images/o6GweEhyMhNFryd9r_pic1024.jpeg
Verborrheism,ANGELO DI BENEDETTO,$180,Verborrheism by ANGELO DI BENEDETTO,"Height 40cm, Width 40cm",Contemporary art,"https://anasaea.com/viewArtPiece/ycceDjsZFZjx4bQFz
",downloaded_images/ycceDjsZFZjx4bQFz_pic1024.jpeg
The Nest,Mersi,$140," We all have a need to nest somewhere. Are you homeless or a big businessman?  The need for a home is universal. And that's what this collage is about. I've returned to my favorite style here...namely digital surrealism.
","Height 60cm, Width 60cm",Geometric abstraction,"https://anasaea.com/viewArtPiece/yMDc2wYgSoyCNgNoa
",downloaded_images/yMDc2wYgSoyCNgNoa_pic1024.jpeg
Mediterranean,Mersi,$130,"Sea, beaches, good food... but also empty ancient streets bathed in sunlight. This is the Mediterranean as I like it.

As this is digital art, the width and height can be adjusted to your requirements!","Height 48cm, Width 67cm",Contemporary art,"https://anasaea.com/viewArtPiece/KprGFkfLKLnCZFRYr
",downloaded_images/KprGFkfLKLnCZFRYr_pic1024.jpeg
Quantum Waves,Irio Lavagno,$400,"An interesting interplay between the sea waves and the concept of a quantum wave, artistically interpreted by a generative AI. The stormy waters are transformed into something more abstract in a maelstrom of intense colours.

There are 10 copies of this picture, each signed and numbered.

The printing on aluminium grants luminous colours and a great depth.","Height 60cm, Width 60cm",,"https://anasaea.com/viewArtPiece/f7PR7iAj9CSAFWf2r
",downloaded_images/f7PR7iAj9CSAFWf2r_pic1024.jpeg
Planomorphosis#72EG,Arturo Carrión,$4200,"La tridimensionalidad real existe, para ello acudimos al sentido del tacto o al desplazamiento físico humano (Tiempo), solo así, corroboramos su existencia. Para poder apreciar la tridimensionalidad en una escultura o cualquier objeto, debemos palparlo en todas sus dimensiones, movernos o desplazarnos físicamente para, en esta acción de captar (cual cámara fotográfica) segmentos de ese recorrido que nuestro cerebro procesa y acopla en una sola imagen y la sentimos tridimensional.  El tiempo y el espacio, como dimensiones, comulgan y actúan en esta acción para dotar al ser humano del concepto subjetivo –virtual de la tridimensionalidad.  Los artistas visuales son apreciados por el público espectador  como magos por su capacidad de interpretar  y representar la tridimensionalidad en el plano bidimensional, para ello se basan en la formula antes mencionada  “La perspectiva + formas + luz + sombras = volumen virtual”
En toda mi obra pictórica y en muchos casos escultórica, estos son los factores o ingredientes que utilizo para siempre hacerle un “Homenaje a la tridimensionalidad real” a través del único medio o concepto que he tenido a mano, “La virtualidad”, independientemente de las concepciones filosóficas que planteo en cada serie de obras, tanto psicológicas como ópticas.
En esta serie de obras denominadas “Khromakinesis”, las cuales  se subdividen en “Tubulares”, “Orbitales”,  “Khromavolumes”, “Levitables”, “ Esferoides” y “Entreplanos”, se basan en la representación del volumen, el espacio y la búsqueda para el espectador del movimiento óptico en el espacio bidimensional como experiencia lúdica, ofreciéndole al observador la energía del movimiento subjetivo que produce la representación volumétrica, apoyada en las formas, la luz y las sombras en ese espacio estructurado por las dos dimensiones…la longitud o ancho y la altitud o altura donde se manifiesta la imagen.
Cuando usted vaya caminando por una calle y vea  en su visión frontal que en sentido contrario  viene caminando una hermosa mujer o un apuesto hombre y usted tiene que esperar para voltear a verla o verlo como es por su parte trasera o posterior, recuerde siempre que vemos bidimensionalmente,  si viéramos tridimensionalmente, no tendría necesidad de voltearse para verlos; los vería y disfrutaría al unísono, en un todo. ¿Por qué inventamos el espejo retrovisor?
ArturoCarrión -  artista multimedia  2000
","Height 140cm, Width 140cm",Geometric abstraction,"https://anasaea.com/viewArtPiece/ZPea7JtkAnnDjcwHA
",downloaded_images/ZPea7JtkAnnDjcwHA_pic1024.jpeg
Cascade de Perles: Pearl Cascade in Gilded Splendor,Calvin Lugalambi,$8000,"45H X 45W (IN) LIMITED EDITION
In ""Cascade de Perles: Pearl Cascade in Gilded Splendor,"" the canvas becomes a testament to the shimmering essence and inherent value of a woman. Here, pearls cascade like liquid moonlight, symbolizing the radiant beauty and precious worth that she embodies.

As you immerse yourself in the luminous splendor of the artwork, you'll feel a profound sense of awe and reverence for the timeless allure of womanhood. Each pearl, a luminescent gem, reflects the innate grace, strength, and resilience that define her spirit.

Through the artist's masterful strokes, the canvas becomes a portrait of celestial beauty, each pearl a reflection of the divine intricacies of her being. The gilded splendor, a golden embrace, serves as a radiant backdrop against which her brilliance shines with unparalleled radiance.

""Cascade de Perles"" is more than just a work of art; it is a celebration of the exquisite beauty and immeasurable worth of every woman. It beckons us to recognize and honor the luminous cascade of her essence, to embrace her shimmering presence as a testament to her inherent value and infinite worth.





","Height 114.3cm, Width 114.3cm",Contemporary art,"https://anasaea.com/viewArtPiece/kFXuoz6Y5vwsjmtse
",downloaded_images/kFXuoz6Y5vwsjmtse_pic1024.jpeg
Ｅｓｃａｐｅ,Fausto Chinelato,,"""The Flee from Humanity"".",,Gothic art,"https://anasaea.com/viewArtPiece/6iJjZvZzmrwdFW2px
",downloaded_images/6iJjZvZzmrwdFW2px_pic1024.jpeg
Eternal Voyage,Mersi,$150,"I sail through my life as best I can... calm and rough waters.
In this collage I tried to capture among other things the depth of the human desire to know the places that are in plain sight...yet hidden from us for most of our lives.

As this is digital art, the width and height can be adjusted to your requirements!","Height 40cm, Width 40cm",Contemporary art,"https://anasaea.com/viewArtPiece/P5tZibeGict3AaqwS
",downloaded_images/P5tZibeGict3AaqwS_pic1024.jpeg
Doppelganger,Antonella Torquati,$650,"One or two: who knows? // This painting is on sale as art-NFT (on demand ) and/or printable on alu-PVC panel (limited edition, 1/3); the physical artwork will be shipped from Italy; the  indicated price refers to the printable painting (50x60) and may vary depending on the size of the print (e.g. 40x48 or 72x60).","Height 60cm, Width 50cm",Contemporary art,"https://anasaea.com/viewArtPiece/cpxCLPEJJ2s9N7zMW
",downloaded_images/cpxCLPEJJ2s9N7zMW_pic1024.jpeg
Waiting,Antonella Torquati,$400,"Waiting... thinking... waiting... // This painting is on sale as art-NFT (on demand ) and/or printable on alu-PVC panel (limited edition, 1/3); the physical artwork will be shipped from Italy; the  indicated price refers to the printable painting (40x40) and may vary depending on the size of the print (e.g. 30x30 or 50x50).","Height 40cm, Width 40cm",Contemporary art,"https://anasaea.com/viewArtPiece/P5FwereHPN7MWM6HP
",downloaded_images/P5FwereHPN7MWM6HP_pic1024.jpeg
Veils of unreality,Fabrizio Terzi,$240,Veils of unreality by Fabrizio Terzi,"Height 70cm, Width 70cm",Abstract expressionism,"https://anasaea.com/viewArtPiece/XPvLC5PmzEiSCzXiN
",downloaded_images/XPvLC5PmzEiSCzXiN_pic1024.jpeg
